z	n	A	E2+            err
56         54        110         100.00000000         100.00000000
56         56        112         100.00000000         100.00000000
56         58        114         100.00000000         100.00000000
56         60        116         100.00000000         100.00000000
56         62        118         100.00000000         100.00000000
56         64        120         100.00000000         100.00000000
56         66        122         100.00000000         100.00000000
56         68        124         100.00000000         100.00000000
56         70        126         100.00000000         100.00000000
56         72        128         100.00000000         100.00000000
56         74        130         100.00000000         100.00000000
56         76        132         100.00000000         100.00000000
56         78        134         100.00000000         100.00000000
56         80        136         100.00000000         100.00000000
56         82        138         100.00000000         100.00000000
56         84        140         100.00000000         100.00000000
56         86        142         100.00000000         100.00000000
56         88        144         100.00000000         100.00000000
56         90        146         100.00000000         100.00000000
56         92        148         100.00000000         100.00000000
56         94        150         100.00000000         100.00000000
56         96        152         100.00000000         100.00000000
56         98        154         100.00000000         100.00000000
56        100        156         100.00000000         100.00000000
58         56        114         100.00000000         100.00000000
58         58        116         100.00000000         100.00000000
58         60        118         100.00000000         100.00000000
58         62        120         100.00000000         100.00000000
58         64        122         100.00000000         100.00000000
58         66        124         100.00000000         100.00000000
58         68        126         100.00000000         100.00000000
58         70        128         100.00000000         100.00000000
58         72        130         100.00000000         100.00000000
58         74        132         100.00000000         100.00000000
58         76        134         100.00000000         100.00000000
58         78        136         100.00000000         100.00000000
58         80        138         100.00000000         100.00000000
58         82        140         100.00000000         100.00000000
58         84        142         100.00000000         100.00000000
58         86        144         100.00000000         100.00000000
58         88        146         100.00000000         100.00000000
58         90        148         100.00000000         100.00000000
58         92        150         100.00000000         100.00000000
58         94        152         100.00000000         100.00000000
58         96        154         100.00000000         100.00000000
58         98        156         100.00000000         100.00000000
58        100        158         100.00000000         100.00000000
58        102        160         100.00000000         100.00000000
60         60        120         100.00000000         100.00000000
60         62        122         100.00000000         100.00000000
60         64        124         100.00000000         100.00000000
60         66        126         100.00000000         100.00000000
60         68        128         100.00000000         100.00000000
60         70        130         100.00000000         100.00000000
60         72        132         100.00000000         100.00000000
60         74        134         100.00000000         100.00000000
60         76        136         100.00000000         100.00000000
60         78        138         100.00000000         100.00000000
60         80        140         100.00000000         100.00000000
60         82        142         100.00000000         100.00000000
60         84        144         100.00000000         100.00000000
60         86        146         100.00000000         100.00000000
60         88        148         100.00000000         100.00000000
60         90        150         100.00000000         100.00000000
60         92        152         100.00000000         100.00000000
60         94        154         100.00000000         100.00000000
60         96        156         100.00000000         100.00000000
60         98        158         100.00000000         100.00000000
60        100        160         100.00000000         100.00000000
60        102        162         100.00000000         100.00000000
60        104        164         100.00000000         100.00000000
60        106        166         100.00000000         100.00000000
60        108        168         100.00000000         100.00000000
62         60        122         100.00000000         100.00000000
62         62        124         100.00000000         100.00000000
62         64        126         100.00000000         100.00000000
62         66        128         100.00000000         100.00000000
62         68        130         100.00000000         100.00000000
62         70        132         100.00000000         100.00000000
62         72        134         100.00000000         100.00000000
62         74        136         100.00000000         100.00000000
62         76        138         100.00000000         100.00000000
62         78        140         100.00000000         100.00000000
62         80        142         100.00000000         100.00000000
62         82        144         100.00000000         100.00000000
62         84        146         100.00000000         100.00000000
62         86        148         100.00000000         100.00000000
62         88        150         100.00000000         100.00000000
62         90        152         100.00000000         100.00000000
62         92        154         100.00000000         100.00000000
62         94        156         100.00000000         100.00000000
62         96        158         100.00000000         100.00000000
62         98        160         100.00000000         100.00000000
62        100        162         100.00000000         100.00000000
62        102        164         100.00000000         100.00000000
62        104        166         100.00000000         100.00000000
62        106        168         100.00000000         100.00000000
62        108        170         100.00000000         100.00000000
62        110        172         100.00000000         100.00000000
64         62        126         100.00000000         100.00000000
64         64        128         100.00000000         100.00000000
64         66        130         100.00000000         100.00000000
64         68        132         100.00000000         100.00000000
64         70        134         100.00000000         100.00000000
64         72        136         100.00000000         100.00000000
64         74        138         100.00000000         100.00000000
64         76        140         100.00000000         100.00000000
64         78        142         100.00000000         100.00000000
64         80        144         100.00000000         100.00000000
64         82        146         100.00000000         100.00000000
64         84        148         100.00000000         100.00000000
64         86        150         100.00000000         100.00000000
64         88        152         100.00000000         100.00000000
64         90        154         100.00000000         100.00000000
64         92        156         100.00000000         100.00000000
64         94        158         100.00000000         100.00000000
64         96        160         100.00000000         100.00000000
64         98        162         100.00000000         100.00000000
64        100        164         100.00000000         100.00000000
64        102        166         100.00000000         100.00000000
64        104        168         100.00000000         100.00000000
64        106        170         100.00000000         100.00000000
64        108        172         100.00000000         100.00000000
64        110        174         100.00000000         100.00000000
66         66        132         100.00000000         100.00000000
66         68        134         100.00000000         100.00000000
66         70        136         100.00000000         100.00000000
66         72        138         100.00000000         100.00000000
66         74        140         100.00000000         100.00000000
66         76        142         100.00000000         100.00000000
66         78        144         100.00000000         100.00000000
66         80        146         100.00000000         100.00000000
66         82        148         100.00000000         100.00000000
66         84        150         100.00000000         100.00000000
66         86        152         100.00000000         100.00000000
66         88        154         100.00000000         100.00000000
66         90        156         100.00000000         100.00000000
66         92        158         100.00000000         100.00000000
66         94        160         100.00000000         100.00000000
66         96        162         100.00000000         100.00000000
66         98        164         100.00000000         100.00000000
66        100        166         100.00000000         100.00000000
66        102        168         100.00000000         100.00000000
66        104        170         100.00000000         100.00000000
66        106        172         100.00000000         100.00000000
66        108        174         100.00000000         100.00000000
66        110        176         100.00000000         100.00000000
66        112        178         100.00000000         100.00000000
68         72        140         100.00000000         100.00000000
68         74        142         100.00000000         100.00000000
68         76        144         100.00000000         100.00000000
68         78        146         100.00000000         100.00000000
68         80        148         100.00000000         100.00000000
68         82        150         100.00000000         100.00000000
68         84        152         100.00000000         100.00000000
68         86        154         100.00000000         100.00000000
68         88        156         100.00000000         100.00000000
68         90        158         100.00000000         100.00000000
68         92        160         100.00000000         100.00000000
68         94        162         100.00000000         100.00000000
68         96        164         100.00000000         100.00000000
68         98        166         100.00000000         100.00000000
68        100        168         100.00000000         100.00000000
68        102        170         100.00000000         100.00000000
68        104        172         100.00000000         100.00000000
68        106        174         100.00000000         100.00000000
68        108        176         100.00000000         100.00000000
68        110        178         100.00000000         100.00000000
68        112        180         100.00000000         100.00000000
70         74        144         100.00000000         100.00000000
70         76        146         100.00000000         100.00000000
70         78        148         100.00000000         100.00000000
70         80        150         100.00000000         100.00000000
70         82        152         100.00000000         100.00000000
70         84        154         100.00000000         100.00000000
70         86        156         100.00000000         100.00000000
70         88        158         100.00000000         100.00000000
70         90        160         100.00000000         100.00000000
70         92        162         100.00000000         100.00000000
70         94        164         100.00000000         100.00000000
70         96        166         100.00000000         100.00000000
70         98        168         100.00000000         100.00000000
70        100        170         100.00000000         100.00000000
70        102        172         100.00000000         100.00000000
70        104        174         100.00000000         100.00000000
70        106        176         100.00000000         100.00000000
70        108        178         100.00000000         100.00000000
70        110        180         100.00000000         100.00000000
70        112        182         100.00000000         100.00000000
70        114        184         100.00000000         100.00000000
70        116        186         100.00000000         100.00000000
72         74        146         100.00000000         100.00000000
72         76        148         100.00000000         100.00000000
72         78        150         100.00000000         100.00000000
72         80        152         100.00000000         100.00000000
72         82        154         100.00000000         100.00000000
72         84        156         100.00000000         100.00000000
72         86        158         100.00000000         100.00000000
72         88        160         100.00000000         100.00000000
72         90        162         100.00000000         100.00000000
72         92        164         100.00000000         100.00000000
72         94        166         100.00000000         100.00000000
72         96        168         100.00000000         100.00000000
72         98        170         100.00000000         100.00000000
72        100        172         100.00000000         100.00000000
72        102        174         100.00000000         100.00000000
72        104        176         100.00000000         100.00000000
72        106        178         100.00000000         100.00000000
72        108        180         100.00000000         100.00000000
72        110        182         100.00000000         100.00000000
72        112        184         100.00000000         100.00000000
72        114        186         100.00000000         100.00000000
72        116        188         100.00000000         100.00000000
72        118        190         100.00000000         100.00000000
72        120        192         100.00000000         100.00000000
74         76        150         100.00000000         100.00000000
74         78        152         100.00000000         100.00000000
74         80        154         100.00000000         100.00000000
74         82        156         100.00000000         100.00000000
74         84        158         100.00000000         100.00000000
74         86        160         100.00000000         100.00000000
74         88        162         100.00000000         100.00000000
74         90        164         100.00000000         100.00000000
74         92        166         100.00000000         100.00000000
74         94        168         100.00000000         100.00000000
74         96        170         100.00000000         100.00000000
74         98        172         100.00000000         100.00000000
74        100        174         100.00000000         100.00000000
74        102        176         100.00000000         100.00000000
74        104        178         100.00000000         100.00000000
74        106        180         100.00000000         100.00000000
74        108        182         100.00000000         100.00000000
74        110        184         100.00000000         100.00000000
74        112        186         100.00000000         100.00000000
74        114        188         100.00000000         100.00000000
74        116        190         100.00000000         100.00000000
74        118        192         100.00000000         100.00000000
